srlg_id,path_calc_time,res_assign_time,total_consume
1,3,410,0.1325
2,1,150,0.0475
3,100,21969,6.49225
4,101,21980,6.505
5,101,22129,6.54225
6,1,160,0.05
7,101,22129,6.54225
9,103,22347,6.61675
10,1,190,0.0575
11,159,35334,10.4235
12,49,9874,2.9585
13,292,52589,16.0673
14,2,150,0.0575
15,6,1090,0.3325
16,144,28234,8.4985
17,5,870,0.2675
18,1,220,0.065
19,1,210,0.0625
20,4,640,0.2
21,1,210,0.0625
23,1,210,0.0625
28,1,120,0.04
29,1,290,0.0825
31,1,290,0.0825
32,2,350,0.1075
33,1,290,0.0825
35,1,150,0.0475
37,101,21980,6.505
39,1,180,0.055
43,1,190,0.0575
45,49,9874,2.9585
46,2,320,0.1
47,2,220,0.075
48,1,130,0.0425
49,145,26966,8.1915
50,1,150,0.0475
52,1,150,0.0475
53,1,120,0.04
54,2,380,0.115
56,2,360,0.11
58,2,360,0.11
60,2,360,0.11
61,2,250,0.0825
62,1,150,0.0475
63,1,210,0.0625
64,2,430,0.1275
65,3,630,0.1875
66,1,290,0.0825
68,1,150,0.0475
70,101,21980,6.505
72,1,160,0.05
75,1,120,0.04
76,1,190,0.0575
77,2,360,0.11
78,53,10180,3.075
79,4,650,0.2025
80,2,240,0.08
81,1,240,0.07
82,148,27872,8.448
83,1,220,0.065
85,1,240,0.07
86,1,120,0.04
87,1,240,0.07
89,2,480,0.14
91,2,340,0.105
93,3,440,0.14
94,4,530,0.1725
95,3,480,0.15
96,2,350,0.1075
97,2,380,0.115
98,4,730,0.2225
99,2,530,0.1525
100,1,250,0.0725
101,2,400,0.12
102,157,31893,9.54325
103,156,33913,10.0383
104,156,31720,9.49
106,154,31515,9.41875
107,1,180,0.055
108,157,31331,9.40275
109,2,440,0.13
110,81,16878,5.0295
111,131,23891,7.28275
112,78,16505,4.90625
113,3,520,0.16
115,229,43950,13.2775
118,1,140,0.045
120,1,140,0.045
122,1,140,0.045
124,1,140,0.045
126,1,110,0.0375
127,6,810,0.2625
128,1,110,0.0375
129,2,350,0.1075
130,1,110,0.0375
131,5,920,0.28
132,3,640,0.19
133,1,60,0.025
134,2,310,0.0975
135,1,60,0.025
136,156,33913,10.0383
137,1,80,0.03
139,1,80,0.03
140,1,180,0.055
141,1,150,0.0475
142,3,590,0.1775
143,81,12415,3.91375
144,208,36264,11.146
145,81,12584,3.956
146,4,680,0.21
147,117,22680,6.84
148,192,34492,10.543
149,117,20677,6.33925
151,117,20698,6.3445
152,1,150,0.0475
153,117,20698,6.3445
155,117,20698,6.3445
157,114,19819,6.09475
159,357,59891,18.5427
160,31,7970,2.3025
161,298,52750,16.1675
162,48,9236,2.789
163,330,61615,18.7037
164,2,230,0.0775
165,337,62339,18.9548
167,2,310,0.0975
169,149,33926,9.9715
172,1,180,0.055
173,1,180,0.055
174,12,2380,0.715
175,13,2600,0.78
176,240,37406,11.7515
178,251,39524,12.391
179,172,31267,9.53675
180,184,30446,9.4515
182,5,940,0.285
183,178,29467,9.14675
184,5,940,0.285
185,1,150,0.0475
186,3,610,0.1825
187,1,150,0.0475
188,2,420,0.125
189,1,190,0.0575
190,2,420,0.125
192,2,420,0.125
193,31,7970,2.3025
195,50,9656,2.914
197,2,250,0.0825
198,337,62339,18.9548
199,1,140,0.045
200,2,390,0.1175
201,49,9860,2.955
203,50,9950,2.9875
204,1,90,0.0325
205,50,9950,2.9875
206,1,180,0.055
207,78,14358,4.3695
208,150,30027,9.00675
209,81,14592,4.458
210,2,210,0.0725
211,156,27088,8.332
212,247,41824,12.926
213,140,30791,9.09775
215,156,33807,10.0118
216,151,26860,8.225
217,156,33807,10.0118
218,1,150,0.0475
219,151,33465,9.87625
220,3,320,0.11
221,151,33465,9.87625
222,1,190,0.0575
223,151,33465,9.87625
225,151,33465,9.87625
226,31,7970,2.3025
227,226,44101,13.2852
228,119,20319,6.26975
229,224,44574,13.3835
230,3,360,0.12
231,3,670,0.1975
233,1,140,0.045
237,1,90,0.0325
238,1,100,0.035
239,2,280,0.09
240,53,9561,2.92025
241,199,38885,11.7112
242,53,10308,3.107
243,2,210,0.0725
244,151,26111,8.03775
245,362,56795,17.8188
246,152,26772,8.213
247,3,450,0.1425
248,4,830,0.2475
250,3,590,0.1775
